"genus","species","authority","year"
"Acanthocercus","cyanogaster","RUPPELL",1835
"Acanthocercus","gregorii","GUNTHER",1894
"Acanthocercus","guentherpetersi","LARGEN & SPAWLS",2006
"Acanthocercus","kiwuensis","KLAUSEWITZ",1957
"Acanthocercus","minutus","KLAUSEWITZ",1957
"Acanthocercus","phillipsii","BOULENGER",1895
"Acanthocercus","ugandaensis","KLAUSEWITZ",1957
"Acanthocercus","yemensis","KLAUSEWITZ",1954
"Acanthodactylus","aegyptius","BAHA EL DIN",2007
"Acanthodactylus","ahmaddisii","WERNER",2004
"Acanthodactylus","arabicus","BOULENGER",1918
"Acanthodactylus","aureus","GUNTHER",1903
"Acanthodactylus","bedriagai","LATASTE",1881
"Acanthodactylus","beershebensis","MORAVEC EL DIN SELIGMANN SIVAN & WERNER",1999
"Acanthodactylus","blanci","DOUMERGUE",1901
"Acanthodactylus","blanfordii","BOULENGER",1918
"Acanthodactylus","boskianus","DAUDIN",1802
"Acanthodactylus","boueti","CHABANAUD",1917
"Acanthodactylus","busacki","SALVADOR",1982
"Acanthodactylus","cantoris","GUNTHER",1864
"Acanthodactylus","dumerilii","MILNE-EDWARDS",1829
"Acanthodactylus","erythrurus","SCHINZ",1833
"Acanthodactylus","felicis","ARNOLD",1980
"Acanthodactylus","gongrorhynchatus","LEVITON & ANDERSON",1967
"Acanthodactylus","grandis","BOULENGER",1909
"Acanthodactylus","guineensis","BOULENGER",1887
"Acanthodactylus","haasi","LEVITON & ANDERSON",1967
"Acanthodactylus","hardyi","HAAS",1957
"Acanthodactylus","harranensis","BARAN KUMLUTAS LANZA SINDACO AVCI & CRUCITTI",2005
"Acanthodactylus","khamirensis","HEIDARI RASTEGAR-POUYANI RASTEGAR-POUYANI & RAJABIZADEH",2013
"Acanthodactylus","longipes","BOULENGER",1918
"Acanthodactylus","maculatus","GRAY",1838
"Acanthodactylus","margaritae","TAMAR GENIEZ BRITO & CROCHET",2017
"Acanthodactylus","masirae","ARNOLD",1980
"Acanthodactylus","micropholis","BLANFORD",1874
"Acanthodactylus","nilsoni","RASTEGAR-POUYANI",1998
"Acanthodactylus","opheodurus","ARNOLD",1980
"Acanthodactylus","orientalis","ANGEL",1936
"Acanthodactylus","pardalis","LICHTENSTEIN",1823
"Acanthodactylus","robustus","WERNER",1929
"Acanthodactylus","savignyi","AUDOUIN",1827
"Acanthodactylus","schmidti","HAAS",1957
"Acanthodactylus","schreiberi","BOULENGER",1878
"Acanthodactylus","scutellatus","AUDOUIN",1827
"Acanthodactylus","senegalensis","CHABANAUD",1918
"Acanthodactylus","spinicauda","DOUMERGUE",1901
"Acanthodactylus","taghitensis","GENIEZ & FOUCART",1995
"Acanthodactylus","tilburyi","ARNOLD",1986
"Acanthodactylus","tristrami","GUNTHER",1864
"Acanthodactylus","yemenicus","SALVADOR",1982
"Acanthophis","antarcticus","SHAW",1802
"Acanthophis","cryptamydros","MADDOCK ELLIS DOUGHTY SMITH & WUSTER",2015
"Acanthophis","hawkei","WELLS & WELLINGTON",1985
"Acanthophis","laevis","MACLEAY",1877
"Acanthophis","praelongus","RAMSAY",1877
"Acanthophis","pyrrhus","BOULENGER",1898
"Acanthophis","rugosus","LOVERIDGE",1948
"Acanthophis","wellsi","HOSER",1998
"Acanthosaura","armata","GRAY",1827
"Acanthosaura","bintangensis","WOOD GRISMER GRISMER AHMAD ONN & BAUER",2009
"Acanthosaura","brachypoda","ANANJEVA ORLOV NGUYEN & RYABOV",2011
"Acanthosaura","capra","GUNTHER",1861
"Acanthosaura","cardamomensis","WOOD GRISMER GRISMER NEANG CHAV & HOLDEN",2010
"Acanthosaura","coronata","GUNTHER",1861
"Acanthosaura","crucigera","BOULENGER",1885
"Acanthosaura","lepidogaster","CUVIER",1829
"Acanthosaura","murphyi","NGUYEN DO HOANG NGUYEN MCCORMACK NGUYEN ORLOV NGUYEN & NGUYEN",2018
"Acanthosaura","nataliae","ORLOV TRUONG & SANG",2006
"Acanthosaura","phongdienensis","NGUYEN JIN VO NGUYEN ZHOU CHE MURPHY & ZHANG",2019
"Acanthosaura","phuketensis","PAUWELS SUMONTHA KUNYA NITIKUL SAMPHANTHAMIT WOOD & GRISMER",2015
"Acanthosaura","titiwangsaensis","WOOD GRISMER GRISMER AHMAD ONN & BAUER",2009
"Acanthosaura","tongbiguanensis","LIU & RAO",2019
"Achalinus","ater","BOURRET",1937
"Achalinus","emilyae","ZIEGLER NGUYEN PHAM NGUYEN PHAM VAN SCHINGEN NGUYEN & LE",2019
"Achalinus","formosanus","BOULENGER",1908
"Achalinus","hainanus","HUANG",1975
"Achalinus","jinggangensis","ZONG & MA",1983
"Achalinus","juliani","ZIEGLER NGUYEN PHAM NGUYEN PHAM VAN SCHINGEN NGUYEN & LE",2019
"Achalinus","meiguensis","HU & ZHAO",1966
"Achalinus","niger","MAKI",1931
"Achalinus","rufescens","BOULENGER",1888
"Achalinus","spinalis","PETERS",1869
"Achalinus","timi","ZIEGLER NGUYEN PHAM NGUYEN PHAM VAN SCHINGEN NGUYEN & LE",2019
"Achalinus","werneri","VAN DENBURGH",1912
"Achalinus","yunkaiensis","WANG LI & WANG",2019
"Acontias","albigularis","CONRADIE BUSSCHAU & EDWARDS",2018
"Acontias","aurantiacus","PETERS",1854
"Acontias","bicolor","HEWITT",1929
"Acontias","breviceps","ESSEX",1925
"Acontias","cregoi","BOULENGER",1903
"Acontias","fitzsimonsi","BROADLEY",1968
"Acontias","gariepensis","FITZSIMONS",1941
"Acontias","gracilicauda","ESSEX",1925
"Acontias","grayi","BOULENGER",1887
"Acontias","jappi","BROADLEY",1968
"Acontias","kgalagadi","LAMB BISWAS & BAUER",2010
"Acontias","lineatus","PETERS",1879
"Acontias","litoralis","BROADLEY & GREER",1969
"Acontias","meleagris","LINNAEUS",1758
"Acontias","namaquensis","HEWITT",1938
"Acontias","occidentalis","FITZSIMONS",1941
"Acontias","orientalis","HEWITT",1938
"Acontias","parietalis","BROADLEY",1990
"Acontias","percivali","LOVERIDGE",1935
"Acontias","plumbeus","BIANCONI",1849
"Acontias","richardi","JACOBSEN",1987
"Acontias","rieppeli","LAMB BISWAS & BAUER",2010
"Acontias","schmitzi","WAGNER BROADLEY & BAUER",2012
"Acontias","tristis","WERNER",1910
"Acontias","wakkerstroomensis","CONRADIE BUSSCHAU & EDWARDS",2018
"Acrantophis","dumerili","JAN",1860
"Acrantophis","madagascariensis","DUMERIL & BIBRON",1844
"Acratosaura","mentalis","AMARAL",1933
"Acratosaura","spinosa","RODRIGUES CASSIMIRO DE FREITAS & SANTOS SILVA",2009
"Acritoscincus","duperreyi","GRAY",1838
"Acritoscincus","platynotus","PETERS",1881
"Acritoscincus","trilineatus","GRAY",1838
"Acrochordus","arafurae","MCDOWELL",1979
"Acrochordus","granulatus","SCHNEIDER",1799
"Acrochordus","javanicus","HORNSTEDT",1787
"Acutotyphlops","banaorum","WALLACH BROWN DIESMOS & GEE",2007
"Acutotyphlops","infralabialis","WAITE",1918
"Acutotyphlops","kunuaensis","WALLACH",1995
"Acutotyphlops","solomonis","PARKER",1939
"Acutotyphlops","subocularis","WAITE",1897
"Adelophis","copei","DUGES",1879
"Adelophis","foxi","ROSSMAN & BLANEY",1968
"Adelphicos","daryi","CAMPBELL & FORD",1982
"Adelphicos","ibarrorum","CAMPBELL & BRODIE",1988
"Adelphicos","latifasciatum","LYNCH & SMITH",1966
"Adelphicos","newmanorum","TAYLOR",1950
"Adelphicos","nigrilatum","SMITH",1942
"Adelphicos","quadrivirgatum","JAN",1862
"Adelphicos","sargii","FISCHER",1885
"Adelphicos","veraepacis","STUART",1941
"Adelphicos","visoninum","COPE",1866
"Adercosaurus","vixadnexus","MYERS & DONNELLY",2001
"Adolfus","africanus","BOULENGER",1906
"Adolfus","alleni","BARBOUR",1914
"Adolfus","jacksoni","BOULENGER",1899
"Adolfus","kibonotensis","LONNBERG",1907
"Adolfus","masavaensis","WAGNER GREENBAUM & BRANCH",2014
"Adolfus","mathewsensis","GREENBAUM DOWELL-BEER HUGHES WAGNER ANDERSON VILLANUEVA MALONZA KUSAMBA ARISTOTE & BRANCH",2018
"Aeluroglena","cucullata","BOULENGER",1898
"Aeluroscalabotes","felinus","GUNTHER",1864
"Afroedura","africana","BOULENGER",1888
"Afroedura","amatolica","HEWITT",1925
"Afroedura","bogerti","LOVERIDGE",1944
"Afroedura","broadleyi","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","gorongosa","BRANCH GUYTON SCHMITZ BAREJ NASKRECKI FAROOQ VERBURGT RODEL",2017
"Afroedura","granitica","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","haackei","ONDERSTALL",1984
"Afroedura","halli","HEWITT",1935
"Afroedura","hawequensis","MOUTON & MOSTET",1985
"Afroedura","karroica","HEWITT",1925
"Afroedura","langi","FITZSIMONS",1930
"Afroedura","leoloensis","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","loveridgei","BROADLEY",1963
"Afroedura","major","ONDERSTALL",1984
"Afroedura","maripi","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","marleyi","FITZSIMONS",1930
"Afroedura","multiporis","HEWITT",1925
"Afroedura","namaquensis","FITZSIMONS",1938
"Afroedura","nivaria","BOULENGER",1894
"Afroedura","pienaari","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","pondolia","HEWITT",1925
"Afroedura","pongola","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","rondavelica","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","rupestris","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afroedura","tembulica","HEWITT",1926
"Afroedura","tirasensis","HAACKE",1965
"Afroedura","transvaalica","HEWITT",1925
"Afroedura","waterbergensis","JACOBSEN KUHN JACKMAN & BAUER",2014
"Afrogecko","ansorgii","BOULENGER",1907
"Afrogecko","porphyreus","DAUDIN",1802
"Afronatrix","anoscopus","COPE",1861
"Afrotyphlops","angolensis","BOCAGE",1866
"Afrotyphlops","anomalus","BOCAGE",1873
"Afrotyphlops","bibronii","SMITH",1846
"Afrotyphlops","blanfordii","BOULENGER",1889
"Afrotyphlops","brevis","SCORTECCI",1929
"Afrotyphlops","calabresii","GANS & LAURENT",1965
"Afrotyphlops","chirioi","TRAPE",2019
"Afrotyphlops","congestus","DUMERIL & BIBRON",1844
"Afrotyphlops","cuneirostris","PETERS",1879
"Afrotyphlops","elegans","PETERS",1868
"Afrotyphlops","fornasinii","BIANCONI",1849
"Afrotyphlops","gierrai","MOCQUARD",1897
"Afrotyphlops","kaimosae","LOVERIDGE",1935
"Afrotyphlops","liberiensis","HALLOWELL",1848
"Afrotyphlops","lineolatus","JAN",1864
"Afrotyphlops","mucruso","PETERS",1854
"Afrotyphlops","nanus","BROADLEY & WALLACH",2009
"Afrotyphlops","nigrocandidus","BROADLEY & WALLACH",2000
"Afrotyphlops","obtusus","PETERS",1865
"Afrotyphlops","platyrhynchus","STERNFELD",1910
"Afrotyphlops","punctatus","LEACH",1819
"Afrotyphlops","rondoensis","LOVERIDGE",1942
"Afrotyphlops","rouxestevae","TRAPE",2019
"Afrotyphlops","schlegelii","BIANCONI",1849
"Afrotyphlops","schmidti","LAURENT",1956
"Afrotyphlops","steinhausi","WERNER",1909
"Afrotyphlops","tanganicanus","LAURENT",1964
"Afrotyphlops","usambaricus","LAURENT",1964
"Agama","aculeata","MERREM",1820
"Agama","africana","HALLOWELL",1844
"Agama","agama","LINNAEUS",1758
"Agama","anchietae","BOCAGE",1896
"Agama","armata","PETERS",1855
"Agama","atra","DAUDIN",1802
"Agama","bocourti","ROCHEBRUNE",1884
"Agama","boensis","MONARD",1940
"Agama","bottegi","BOULENGER",1897
"Agama","boueti","CHABANAUD",1917
"Agama","boulengeri","LATASTE",1886
"Agama","caudospinosa","MEEK",1910
"Agama","cristata","MOCQUARD",1905
"Agama","doriae","BOULENGER",1885
"Agama","etoshae","MCLACHLAN",1981
"Agama","finchi","BOHME WAGNER MALONZA LOTTERS & KOHLER",2005
"Agama","gracilimembris","CHABANAUD",1918
"Agama","hartmanni","PETERS",1869
"Agama","hispida","KAUP",1827
"Agama","hulbertorum","WAGNER",2014
"Agama","impalearis","BOETTGER",1874
"Agama","insularis","CHABANAUD",1918
"Agama","kaimosae","LOVERIDGE",1935
"Agama","kirkii","BOULENGER",1885
"Agama","knobeli","BOULENGER & POWER",1921
"Agama","lanzai","WAGNER LEACHE MAZUCH & BOHME",2013
"Agama","lebretoni","WAGNER BAREJ & SCHMITZ",2009
"Agama","lionotus","BOULENGER",1896
"Agama","lucyae","WAGNER & BAUER",2011
"Agama","montana","BARBOUR & LOVERIDGE",1928
"Agama","mossambica","PETERS",1854
"Agama","mucosoensis","HELLMICH",1957
"Agama","mwanzae","LOVERIDGE",1923
"Agama","parafricana","TRAPE MEDIANNIKOV & TRAPE",2012
"Agama","paragama","GRANDISON",1968
"Agama","persimilis","PARKER",1942
"Agama","picticauda","PETERS",1877
"Agama","planiceps","PETERS",1862
"Agama","robecchii","BOULENGER",1891
"Agama","rueppelli","VAILLANT",1882
"Agama","sankaranica","CHABANAUD",1918
"Agama","somalica","WAGNER LEACHE MAZUCH & BOHME",2013
"Agama","spinosa","GRAY",1831
"Agama","tassiliensis","GENIEZ PADIAL & CROCHET",2011
"Agama","turuensis","LOVERIDGE",1932
"Agama","weidholzi","WETTSTEIN",1932
"Agamodon","anguliceps","PETERS",1882
"Agamodon","arabicus","ANDERSON",1901
"Agamodon","compressus","MOCQUARD",1888
"Agamura","kermanensis","HOSSEINIAN-YOUSEFKHANI ALIABADIAN RASTEGAR-POUYANI DARVISH SHAFIEI & SEHHATISABET",2018
"Agamura","persica","DUMERIL",1856
"Agkistrodon","bilineatus","GUNTHER",1863
"Agkistrodon","conanti","GLOYD",1969
"Agkistrodon","contortrix","LINNAEUS",1766
"Agkistrodon","howardgloydi","CONANT",1984
"Agkistrodon","laticinctus","GLOYD & CONANT",1934
"Agkistrodon","piscivorus","LACEPEDE",1789
"Agkistrodon","russeolus","GLOYD",1972
"Agkistrodon","taylori","BURGER & ROBERTSON",1951
"Ahaetulla","anomala","ANNANDALE",1906
"Ahaetulla","dispar","GUNTHER",1864
"Ahaetulla","fasciolata","FISCHER",1885
"Ahaetulla","fronticincta","GUNTHER",1858
"Ahaetulla","laudankia","DEEPAK NARAYANAN SARKAR DUTTA & MOHAPATRA",2019
"Ahaetulla","mycterizans","LINNAEUS",1758
"Ahaetulla","nasuta","LACEPEDE",1789
"Ahaetulla","perroteti","DUMERIL BIBRON & DUMERIL",1854
"Ahaetulla","prasina","BOIE",1827
"Ahaetulla","pulverulenta","DUMERIL BIBRON & DUMERIL",1854
"Ailuronyx","seychellensis","DUMERIL & BIBRON",1836
"Ailuronyx","tachyscopaeus","GERLACH & CANNING",1996
"Ailuronyx","trachygaster","DUMERIL",1851
"Aipysurus","apraefrontalis","SMITH",1926
"Aipysurus","duboisii","BAVAY",1869
"Aipysurus","eydouxii","GRAY",1849
"Aipysurus","foliosquama","SMITH",1926
"Aipysurus","fuscus","TSCHUDI",1837
"Aipysurus","laevis","LACEPEDE",1804
"Aipysurus","mosaicus","SANDERS RASMUSSEN ELMBERG MUMPUNI GUINEA BLIAS LEE & FRY",2012
"Aipysurus","pooleorum","SMITH",1974
"Aipysurus","tenuis","LONNBERG & ANDERSSON",1913
"Alexandresaurus","camacan","RODRIGUES PELLEGRINO DIXO VERDADE PAVAN ARGOLO & SITES",2007
"Algyroides","fitzingeri","WIEGMANN",1834
"Algyroides","marchi","VALVERDE",1958
"Algyroides","moreoticus","BIBRON & BORY",1833
"Algyroides","nigropunctatus","DUMERIL & BIBRON",1839
"Alinea","lanceolata","COPE",1863
"Alinea","luciae","GARMAN",1887
"Alluaudina","bellyi","MOCQUARD",1894
"Alluaudina","mocquardi","ANGEL",1939
"Alopoglossus","angulatus","LINNAEUS",1758
"Alopoglossus","atriventris","DUELLMAN",1973
"Alopoglossus","buckleyi","O'SHAUGHNESSY",1881
"Alopoglossus","copii","BOULENGER",1885
"Alopoglossus","embera","PELOSO & MORALES",2017
"Alopoglossus","festae","PERACCA",1904
"Alopoglossus","lehmanni","AYALA & HARRIS",1984
"Alopoglossus","meloi","RIBEIRO-JUNIOR",2018
"Alopoglossus","viridiceps","TORRES-CARVAJAL & LOBOS",2014
"Alsophis","antiguae","PARKER",1933
"Alsophis","antillensis","SCHLEGEL",1837
"Alsophis","danforthi","COCHRAN",1938
"Alsophis","manselli","PARKER",1933
"Alsophis","rijgersmaei","COPE",1869
"Alsophis","rufiventris","DUMERIL BIBRON & DUMERIL",1854
"Alsophis","sajdaki","HENDERSON",1990
"Alsophis","sanctonum","BARBOUR",1915
"Alsophis","sibonius","COPE",1879
"Alsophylax","laevis","NIKOLSKY",1907
"Alsophylax","loricatus","STRAUCH",1887
"Alsophylax","pipiens","PALLAS",1827
"Alsophylax","przewalskii","STRAUCH",1887
"Alsophylax","szczerbaki","GOLUBEV & SATTAROV",1979
"Alsophylax","tadjikiensis","GOLUBEV",1979
"Altiphylax","baturensis","KHAN & BAIG",1992
"Altiphylax","levitoni","GOLUBEV & SZCZERBAK",1979
"Altiphylax","mintoni","GOLUBEV & SZCZERBAK",1981
"Altiphylax","stoliczkai","STEINDACHNER",1867
"Altiphylax","tokobajevi","EREMCHENKO & SZCZERBAK",1984
"Amalosia","jacovae","COUPER KEIM & HOSKIN",2007
"Amalosia","lesueurii","DUMERIL & BIBRON",1836
"Amalosia","obscura","KING",1985
"Amalosia","rhombifer","GRAY",1845
"Amapasaurus","tetradactylus","CUNHA",1970
"Amastridium","sapperi","WERNER",1903
"Amastridium","veliferum","COPE",1861
"Amblyodipsas","concolor","SMITH",1849
"Amblyodipsas","dimidiata","GUNTHER",1888
"Amblyodipsas","katangensis","DE WITTE & LAURENT",1942
"Amblyodipsas","microphthalma","BIANCONI",1852
"Amblyodipsas","polylepis","BOCAGE",1873
"Amblyodipsas","rodhaini","DE WITTE",1930
"Amblyodipsas","teitana","BROADLEY",1971
"Amblyodipsas","unicolor","REINHARDT",1843
"Amblyodipsas","ventrimaculata","ROUX",1907
"Amblyrhynchus","cristatus","BELL",1825
"Ameiva","aggerecusans","KOCH VENEGAS RODDER FLECKS & BOHME",2013
"Ameiva","ameiva","LINNAEUS",1758
"Ameiva","atrigularis","GARMAN",1887
"Ameiva","bifrontata","COPE",1862
"Ameiva","concolor","RUTHVEN",1924
"Ameiva","fuliginosa","COPE",1892
"Ameiva","jacuba","GIUGLIANO NOGUEIRA VALDUJO COLLEVATTI & COLLI",2013
"Ameiva","nodam","KOCH VENEGAS RODDER FLECKS & BOHME",2013
"Ameiva","pantherina","UGUETO & HARVEY",2011
"Ameiva","parecis","COLLI COSTA GARDA KOPP MESQUITA PERES VALDUJO VIEIRA & WIEDERHECKER",2003
"Ameiva","praesignis","BAIRD & GIRARD",1852
"Ameiva","provitaae","GARCIA-PEREZ",1995
"Ameiva","reticulata","LANDAURO GARCIA-BRAVO & VENEGAS",2015
"Ameiva","tobagana","COPE",1879
"Ameivula","abalosi","CABRERA",2012
"Ameivula","apipensis","ARIAS RECODER ALVAREZ ETHCEPARE QUIPILDOR LOBO & RODRIGUES",2018
"Ameivula","cipoensis","ARIAS CARVALHO ZAHER & RODRIGUES",2014
"Ameivula","confusioniba","ARIAS DE CARVALHO RODRIGUES & ZAHER",2011
"Ameivula","jalapensis","COLLI GIUGLIANO MESQUITA & FRANCA",2009
"Ameivula","mumbuca","COLLI CALDWELL COSTA GAINSBURY GARDA MESQUITA FILHO SOARES SILVA VALDUJO VIEIRA VITT WERNECK WIEDERHECKER & ZATZ",2003
"Ameivula","nativo","ROCHA BERGALLO & PECCININI-SEALE",1997
"Ameivula","nigrigula","ARIAS DE CARVALHO RODRIGUES & ZAHER",2011
"Ameivula","ocellifera","SPIX",1825
"Ameivula","pyrrhogularis","BASTO DA SILVA & AVILA-PIRES",2013
"Ameivula","xacriaba","ARIAS TEXEIRA Jr. RECODER CARVALHO ZAHER & RODRIGUES",2014
"Amerotyphlops","amoipira","RODRIGUES & JUNCA",2002
"Amerotyphlops","arenensis","GRABOSKI PEREIRA-FILHO SILVA COSTA PRUDENTE & ZAHER",2015
"Amerotyphlops","brongersmianus","VANZOLINI",1976
"Amerotyphlops","costaricensis","JIMENEZ & SAVAGE",1963
"Amerotyphlops","lehneri","ROUX",1926
"Amerotyphlops","microstomus","COPE",1866
"Amerotyphlops","minuisquamus","DIXON",1979
"Amerotyphlops","paucisquamus","DIXON",1979
"Amerotyphlops","reticulatus","LINNAEUS",1758
"Amerotyphlops","stadelmani","SCHMIDT",1936
"Amerotyphlops","tasymicris","THOMAS",1974
"Amerotyphlops","tenuis","SALVIN",1860
"Amerotyphlops","trinitatus","RICHMOND",1965
"Amerotyphlops","tycherus","TOWNSEND WILSON KETZLER & LUQUE-MONTES",2008
"Amerotyphlops","yonenagae","RODRIGUES",1991
"Amnesteophis","melanauchen","JAN",1863
"Amphibolurus","burnsi","WELLS & WELLINGTON",1985
"Amphibolurus","centralis","LOVERIDGE",1933
"Amphibolurus","muricatus","WHITE",1790
"Amphibolurus","norrisi","WITTEN & COVENTRY",1984
"Amphiesma","stolatum","LINNAEUS",1758
"Amphiesmoides","ornaticeps","WERNER",1924
"Amphiglossus","astrolabi","DUMERIL & BIBRON",1839
"Amphiglossus","reticulatus","KAUDERN",1922
"Amphisbaena","absaberi","STRUSSMAN & CARVALHO",2001
"Amphisbaena","acrobeles","RIBEIRO CASTRO-MELLO & NOGUEIRA",2009
"Amphisbaena","alba","LINNAEUS",1758
"Amphisbaena","albocingulata","BOETTGER",1885
"Amphisbaena","anaemariae","VANZOLINI",1997
"Amphisbaena","angustifrons","COPE",1861
"Amphisbaena","anomala","BARBOUR",1914
"Amphisbaena","arda","RODRIGUES",2003
"Amphisbaena","arenaria","VANZOLINI",1991
"Amphisbaena","arenicola","PEREZ & BORGES-MARTINS",2019
"Amphisbaena","bahiana","VANZOLINI",1964
"Amphisbaena","bakeri","STEJNEGER",1904
"Amphisbaena","barbouri","GANS & ALEXANDER",1962
"Amphisbaena","bedai","VANZOLINI",1991
"Amphisbaena","bilabialata","STIMSON",1972
"Amphisbaena","bolivica","MERTENS",1929
"Amphisbaena","borelli","PERACCA",1897
"Amphisbaena","brasiliana","GRAY",1865
"Amphisbaena","brevis","STRUSSMANN & MOTT",2009
"Amphisbaena","caeca","CUVIER",1829
"Amphisbaena","caetitensis","ALMEIDA FREITAS SILVA COSTA-VALVERDE RODRIGUES PIRES & MOTT",2018
"Amphisbaena","caiari","TEIXEIRA JR DA VECHIO NETO & RODRIGUES",2014
"Amphisbaena","camura","COPE",1862
"Amphisbaena","carlgansi","THOMAS & HEDGES",1998
"Amphisbaena","carli","PINNA MENDONCA BOCCHIGLIERI4 & FERNANDES",2010
"Amphisbaena","carvalhoi","GANS",1965
"Amphisbaena","caudalis","COCHRAN",1928
"Amphisbaena","cayemite","THOMAS & HEDGES",2006
"Amphisbaena","cegei","MONTERO SAFADEZ ALVAREZ",1997
"Amphisbaena","crisae","VANZOLINI",1997
"Amphisbaena","cubana","GUNDLACH & PETERS",1879
"Amphisbaena","cuiabana","STRUSSMAN & CARVALHO",2001
"Amphisbaena","cunhai","HOOGMOED & AVILA",1991
"Amphisbaena","darwinii","DUMERIL & BIBRON",1839
"Amphisbaena","dubia","MULLER",1924
"Amphisbaena","fenestrata","COPE",1861
"Amphisbaena","filiformis","RIBEIRO GOMES RODRIGUES DA SILVA CINTRA & DA SILVA",2016
"Amphisbaena","frontalis","VANZOLINI",1991
"Amphisbaena","fuliginosa","LINNAEUS",1758
"Amphisbaena","gonavensis","GANS & ALEXANDER",1962
"Amphisbaena","gracilis","STRAUCH",1881
"Amphisbaena","hastata","VANZOLINI",1991
"Amphisbaena","heathi","SCHMIDT",1936
"Amphisbaena","hiata","MONTERO & CESPEDEZ",2002
"Amphisbaena","hogei","VANZOLINI",1950
"Amphisbaena","hoogmoedi","OLIVEIRA VAZ-SILVA SANTOS-JR GRABOSKI TEIXEIRA JR DAL VECHIO & RIBEIRO",2018
"Amphisbaena","hyporissor","THOMAS",1965
"Amphisbaena","ibijara","RODRIGUES ANDRADE & DIAS-LIMA",2003
"Amphisbaena","ignatiana","VANZOLINI",1991
"Amphisbaena","innocens","WEINLAND",1862
"Amphisbaena","kingii","BELL",1833
"Amphisbaena","kiriri","RIBEIRO GOMIDES & COSTA",2018
"Amphisbaena","kraoh","VANZOLINI",1971
"Amphisbaena","leali","THOMAS & HEDGES",2006
"Amphisbaena","leeseri","GANS",1964
"Amphisbaena","leucocephala","PETERS",1878
"Amphisbaena","littoralis","ROBERTO BRITO & AVILA",2014
"Amphisbaena","lumbricalis","VANZOLINI",1996
"Amphisbaena","manni","BARBOUR",1914
"Amphisbaena","maranhensis","GOMES & MACIEL",2012
"Amphisbaena","mebengokre","RIBEIRO SA SANTOS JR GRABOSKI ZAHER GUEDES ANDRADE & VAZ-SILVA",2019
"Amphisbaena","medemi","GANS & MATHERS",1977
"Amphisbaena","mertensii","STRAUCH",1881
"Amphisbaena","metallurga","COSTA RESENDE TEIXEIRA VECHIO & CLEMENTE",2015
"Amphisbaena","miringoera","VANZOLINI",1971
"Amphisbaena","mitchelli","PROCTER",1923
"Amphisbaena","munoai","KLAPPENBACH",1960
